Initial state,P(Loser = Player 1)
"(1, 5, 10)",3377957002474178998319/5419201597936350337715
"(1, 5, 11)",1643901316946507937247/2626941360963688147249
"(1, 5, 12)",10271062765932195745452226529/16425286337759545344114515226
"(1, 5, 13)",32288815904144826873791386879/51414990185038204383703146648
"(1, 5, 14)",650006532286273868033229287193845033119/1043305973055635610020309900529547271796
"(1, 5, 15)",64704146167268871706057074522476/105615618000709461364843182788871
"(1, 5, 16)",6037602250740596776023012657947529509853431669/9681228224551303149288567839235952124886996282
"(1, 5, 17)",796078626094719878487092559142857545451140/1262067595483521494008044287289057444534963
"(1, 5, 18)",16657524135671761514032262142454547416718324429236496026/26349741105422714526659239380113474611809290223256934961
"(1, 5, 19)",16124420157691959853914321326580426834054296853893/25401044914489243793200276906463506320881985646095
"(1, 5, 21)",42175362339100732461896902739788414463502590370607729937/66280645126208283435447111207895099178325549322135289022
"(1, 6, 1)",22376/46095
"(1, 6, 2)",8298/15019
"(1, 6, 3)",4770930/8115163
"(1, 6, 4)",602591/1005193
"(1, 6, 5)",1355257729024/2351413678929
"(1, 6, 6)",108017014281/213378126031
"(1, 6, 7)",80280864746739227/137671536538917246
"(1, 6, 8)",21248667640539/34675064776757
"(1, 6, 9)",30222426431864891283841/48772814381427153039435
"(1, 6, 10)",1640810152833367160839/2626941360963688147249
"(1, 6, 11)",3944934107888427362972069/6264411265354517675100883
"(1, 6, 12)",904394252506309712871345465/1428194171806616788436198518
"(1, 6, 13)",36701667407853840658020228136032587789/57961442947535311667794994473863737322
"(1, 6, 14)",67088386536290975429346936189760/105615618000709461364843182788871
"(1, 6, 15)",3065317830900647710114113185029555151197776269/4840614112275651574644283919617976062443498141
"(1, 6, 16)",533733347534767510923681305835888404864317/841378396989014329338696191526038296356642
"(1, 6, 17)",16575359565579926009539105431688268106002620086044120560/26349741105422714526659239380113474611809290223256934961
"(1, 6, 18)",31396843526503836657645210008702179256936481096599/50802089828978487586400553812927012641763971292190
"(1, 6, 20)",7028204967453388751858069218691839862282122853136204703/11046774187701380572574518534649183196387591553689214837
"(1, 7, 1)",7330/15019
"(1, 7, 2)",32214606/56806141
"(1, 7, 3)",25240097/42218106
"(1, 7, 4)",1426448389150/2351413678929
"(1, 7, 5)",518279851625/853512504124
"(1, 7, 6)",80280864746739227/137671536538917246
"(1, 7, 7)",53393977813433/104025194330271
"(1, 7, 8)",28684931230594515891499/48772814381427153039435
"(1, 7, 9)",3248386035697457999137/5253882721927376294498
"(1, 7, 10)",1711985599662214870212691772/2737547722959924224019085871
"(1, 7, 11)",774663398314886718231258991/1224166432977100104373884444
"(1, 7, 12)",3966980956662554030252875664848298613847/6259835838333813660121859403177283630776
"(1, 7, 13)",202098848255091479574638323549816/316846854002128384094529548366613
