Initial state,P(Loser = Player 1)
"(1, 1, 1)",1/3
"(1, 1, 2)",3/7
"(1, 1, 3)",19/41
"(1, 1, 4)",283/591
"(1, 1, 5)",3403/6993
"(1, 1, 6)",138193/281421
"(1, 1, 7)",3841549/7780935
"(1, 1, 8)",309780343/625280299
"(1, 1, 9)",24876468355/50096609721
"(1, 1, 10)",1740321747013/3499151769825
"(1, 1, 11)",5587615369822079/11222049749463357
"(1, 1, 12)",8943505654774609/17946968306866893
"(1, 2, 2)",23/41
"(1, 2, 3)",121/197
"(1, 2, 4)",71/111
"(1, 2, 5)",183959/281421
"(1, 2, 6)",1716923/2593645
"(1, 2, 7)",59604249/89325757
"(1, 2, 8)",3733714111/5566289969
"(1, 2, 9)",2355506784821/3499151769825
"(1, 2, 10)",1081903172148917/1603149964209051
"(1, 2, 11)",48537075202050307/71787873227467572
"(1, 3, 3)",677/999
"(1, 3, 4)",199753/281421
"(1, 3, 5)",1888471/2593645
"(1, 3, 6)",66054537/89325757
"(1, 3, 7)",12471198503/16698869907
"(1, 3, 8)",876909503977/1166383923275
"(1, 3, 9)",1210911571660841/1603149964209051
"(1, 3, 10)",54407272185757885/71787873227467572
"(1, 4, 4)",1161353/1556187
"(1, 4, 5)",205746109/267977271
"(1, 4, 6)",13046262797/16698869907
"(1, 4, 7)",8295191512127/10497455309475
"(1, 4, 8)",425580155103501/534383321403017
"(1, 4, 9)",14372907907590185/17946968306866893
"(1, 5, 5)",39647572571/50096609721
"(1, 5, 6)",8466586850801/10497455309475
"(1, 5, 7)",1309278866176153/1603149964209051
"(1, 5, 8)",14785829461865503/17946968306866893
"(1, 6, 6)",1319209952158405/1603149964209051
"(1, 6, 7)",14968427631432067/17946968306866893
"(2, 1, 1)",1/7
"(2, 1, 2)",9/41
"(2, 1, 3)",51/197
"(2, 1, 4)",653/2331
"(2, 1, 5)",82357/281421
"(2, 1, 6)",155777/518729
"(2, 1, 7)",190891717/625280299
"(2, 1, 8)",5154054563/16698869907
"(2, 1, 9)",1088120157607/3499151769825
"(2, 1, 10)",3508270514963341/11222049749463357
"(2, 1, 11)",22531314057605165/71787873227467572
"(2, 2, 2)",1/3
"(2, 2, 3)",131/333
"(2, 2, 4)",3/7
"(2, 2, 5)",3499127/7780935
"(2, 2, 6)",19/41
"(2, 2, 7)",23675114999/50096609721
"(2, 2, 8)",283/591
"(2, 2, 9)",774795263559499/1603149964209051
"(2, 2, 10)",3403/6993
"(2, 3, 3)",695/1489
"(2, 3, 4)",1324649/2593645
"(2, 3, 5)",144283679/267977271
