Initial state,P(Loser = Player 1)
"(2, 6, 3)",521939/1005193
"(2, 6, 4)",113/217
"(2, 6, 5)",110672916812/213378126031
"(2, 6, 6)",307/654
"(2, 6, 7)",18718913036676/34675064776757
"(2, 6, 8)",1207/2195
"(2, 6, 9)",1507772841985489593977/2626941360963688147249
"(2, 6, 10)",52181/90114
"(2, 7, 1)",21718301/56806141
"(2, 7, 2)",3295685/7036351
"(2, 7, 3)",175873117048/335916239847
"(2, 7, 4)",231918625879/426756252062
"(2, 7, 5)",293617161095758997/550686146155668984
"(2, 7, 6)",18718913036676/34675064776757
"(2, 7, 7)",2612807097312708911547/5419201597936350337715
"(2, 7, 8)",1454252066335718807342/2626941360963688147249
"(2, 7, 9)",401182405219698264244484999/714142884250415014961500662
"(2, 7, 10)",5036575822963081174138649819/8569165030839700730617191108
"(2, 8, 1)",2728776/7036351
"(2, 8, 2)",44/93
"(2, 8, 3)",31906088041/60965178866
"(2, 8, 4)",60/109
"(2, 8, 5)",38424649615647/69350129553514
"(2, 8, 6)",1207/2195
"(2, 8, 7)",1454252066335718807342/2626941360963688147249
"(2, 8, 8)",7379/15019
"(2, 8, 9)",2398822755227823901788952451/4284582515419850365308595554
"(2, 8, 10)",27650603/48690978
"(2, 9, 1)",6431740299088/16459895752503
"(2, 9, 2)",205055905063/426756252062
"(2, 9, 3)",11950975791691613/22945256089819541
"(2, 9, 4)",19188262036913/34675064776757
"(2, 9, 5)",3039040347164154603547/5419201597936350337715
"(2, 9, 6)",1507772841985489593977/2626941360963688147249
"(2, 9, 7)",401182405219698264244484999/714142884250415014961500662
"(2, 9, 8)",2398822755227823901788952451/4284582515419850365308595554
"(2, 9, 9)",773604907909641181271282795249131603123/1564958959583453415030464850794320907694
"(2, 9, 10)",19874949244669796650207249896838/35205206000236487121614394262957
"(2, 10, 1)",24007484149/60965178866
"(2, 10, 2)",631/1308
"(2, 10, 3)",18571443125172/34675064776757
"(2, 10, 4)",59786/107555
"(2, 10, 5)",1495573108152538186574/2626941360963688147249
"(2, 10, 6)",52181/90114
"(2, 10, 7)",5036575822963081174138649819/8569165030839700730617191108
"(2, 10, 8)",27650603/48690978
"(2, 10, 9)",19874949244669796650207249896838/35205206000236487121614394262957
"(2, 10, 10)",3522116/7036351
"(3, 1, 1)",2/21
"(3, 1, 2)",5/31
"(3, 1, 3)",347/1308
"(3, 1, 4)",904/3073
"(3, 1, 5)",13759/45057
"(3, 1, 6)",35847381/113612282
"(3, 1, 7)",13627813/42218106
"(3, 1, 8)",782705348582/2351413678929
"(3, 1, 9)",899588314829/2560537512372
"(3, 1, 10)",196337213119052089/550686146155668984
"(3, 2, 1)",5/31
"(3, 2, 2)",20/109
"(3, 2, 3)",14167/46095
"(3, 2, 4)",4695/15019
"(3, 2, 5)",1197064/3477927
"(3, 2, 6)",2465633/7036351
"(3, 2, 7)",865941854830/2351413678929
"(3, 2, 8)",11601074711/30482589433
"(3, 2, 9)",18066435778713223/45890512179639082
"(3, 2, 10)",27721800438851/69350129553514
"(3, 3, 1)",347/1308
"(3, 3, 2)",14167/46095
"(3, 3, 3)",1/3
"(3, 3, 4)",6524853/16230326
"(3, 3, 5)",1246820/3015579
"(3, 3, 6)",3/7
"(3, 3, 7)",1143510982097/2560537512372
"(3, 3, 8)",3640155759334337/8098325678759838
"(3, 3, 9)",19/42
"(3, 3, 10)",1518180767562712624297/3251520958761810202629
"(3, 4, 1)",904/3073
"(3, 4, 2)",4695/15019
"(3, 4, 3)",6524853/16230326
"(3, 4, 4)",22035/59129
"(3, 4, 5)",1038528790106/2351413678929
"(3, 4, 6)",201612448543/426756252062
"(3, 4, 7)",33225549223665580/68835768269458623
"(3, 4, 8)",17404095857628/34675064776757
"(3, 4, 9)",555822929264170628721/1083840319587270067543
"(3, 4, 10)",1360732293257860294481/2626941360963688147249
"(3, 5, 1)",13759/45057
"(3, 5, 2)",1197064/3477927
"(3, 5, 3)",1246820/3015579
"(3, 5, 4)",1038528790106/2351413678929
"(3, 5, 5)",511123077923/1280268756186
"(3, 5, 6)",87029170330025371/183562048718556328
"(3, 5, 7)",50614647526576/104025194330271
"(3, 5, 8)",24133326254239837484027/48772814381427153039435
"(3, 5, 9)",211379696078630981067/404144824763644330346
"(3, 5, 10)",206430886516068379914456555/391078246137132032002726553
"(3, 6, 1)",35847381/113612282
"(3, 6, 2)",2465633/7036351
"(3, 6, 3)",3/7
"(3, 6, 4)",201612448543/426756252062
"(3, 6, 5)",87029170330025371/183562048718556328
"(3, 6, 6)",3/7
"(3, 6, 7)",67685828749311772640521/136563880267996028510418
"(3, 6, 8)",1328239203752978027607/2626941360963688147249
"(3, 6, 9)",113/217
"(3, 6, 10)",661673469517295575544493925/1224166432977100104373884444
"(3, 7, 1)",13627813/42218106
"(3, 7, 2)",865941854830/2351413678929
"(3, 7, 3)",1143510982097/2560537512372
"(3, 7, 4)",33225549223665580/68835768269458623
"(3, 7, 5)",50614647526576/104025194330271
"(3, 7, 6)",67685828749311772640521/136563880267996028510418
"(3, 7, 7)",3470225881998024595144/7880824082891064441747
"(3, 7, 8)",105629625201125688858141105/210580594073840324924545067
"(3, 7, 9)",26855375243446709843342507471/51414990185038204383703146648
"(3, 7, 10)",554365276649967472622132237691687870023/1043305973055635610020309900529547271796
"(3, 8, 1)",782705348582/2351413678929
"(3, 8, 2)",11601074711/30482589433
"(3, 8, 3)",3640155759334337/8098325678759838
"(3, 8, 4)",17404095857628/34675064776757
"(3, 8, 5)",24133326254239837484027/48772814381427153039435
"(3, 8, 6)",1328239203752978027607/2626941360963688147249
"(3, 8, 7)",105629625201125688858141105/210580594073840324924545067
"(3, 8, 8)",319162566989595559845463872/714097085903308394218099259
"(3, 8, 9)",90062532563137774526873045085882271805/173884328842605935003384983421591211966
"(3, 8, 10)",55590782303536883809944696371926/105615618000709461364843182788871
"(3, 9, 1)",899588314829/2560537512372
"(3, 9, 2)",18066435778713223/45890512179639082
"(3, 9, 3)",19/42
