Initial state,P(Loser = Player 1)
"(11, 19, 48)",950553383076755268132533246053624329649285184939934203376429073564152908178436335497100154667637702431325741933131691718785671656646360904334135493465565423184052244850023949843811870957628570318753725148516487446898766065838688331307891249442817952284654738673214410277893782426223384701540290921143078273287839698880724012451250170055782308083321973435371340847387859216007087622235865621635526254865737138785549989322030076786350001898992641964455635156016746815055790554674016839323458165079333170826972886256951701261586481180710168736322560935541579312606018598919769976414734737645143600881893716186589372178139625701941/1781977679341565653879062316696873843247756998327153671231986852314951843321344186924841398821286412440780156283494040411257870672756087847714973191810107678090640816925427041583849818284172847051194270083997461045987903072942017481701439871492911355207333740022872177751016695365822566718867384811607200215463380494510770187945490845928143445232732949053965144678241474218200604350499913285920102311013763668735307552502191738215421222671791493636879227034046036336360020502925722601791041490229759313482274629946592084872668350170704528032174220192057223423363966993152397799536216014235688392527706247314395749592323268734337
"(10, 19, 48)",38492743734809286582678715452203696692933147767125738879540621332207702502732970890400223016051448875892586100852993726418650763076957124286298625107439663791442587476691837656483089496406332664980147751600835519080740408869771331955829554001467097539893736472089107670746944940138298692043311547964288456867952310747031559711923401123354938125594417587908704419279778529647788014939856406604466835751363395258837792563481835240047425888240422365737731475141308310010195428331691014545575071833918209701335581157942903009338781392941800/72172631947716456332401265552558384762990498862468415037692251039970394490527477719805116480023925159873759379253036826664797405000819352675795582182050749468591950783638253168541197856184516316883369948927113568339288396113210508323149280922041533365800656183463791510602337698712744550618200803988027039385934659599614350993173800742307099844636040053240585977657765880581526329436732476037801651252617730262545489742380375971399081550847673330058413577601402151278154568795800853718034059456737704469164487164397452186695657348736787
"(10, 20, 48)",10457320374494287441880836001970282908620032976469531911408975892290949117689504882535889786351904294072195722583784218178/18876452238200187824261617102073051229948694533449475966954447142694632255182022516875131466037956702183220323313480722689
